repo,id_build,branch,commit_sha,languages,status,conclusion,created_at,updated_at,build_duration,total_builds,gh_files_added,gh_files_deleted,gh_files_modified,tests_ran,gh_lines_added,gh_lines_deleted,file_types,gh_tests_added,gh_tests_deleted,gh_test_churn,gh_src_churn,gh_pull_req_number,gh_is_pr,gh_sloc,gh_description_complexity,gh_src_files,gh_doc_files,gh_other_files,git_num_committers,gh_job_id,total_jobs,gh_first_commit_created_at,gh_team_size_last_3_month,gh_commits_on_files_touched,gh_num_pr_comments,git_merged_with,gh_test_lines_per_kloc,build_language,dependencies_count,workflow_size,test_framework,tests_passed,tests_failed,tests_skipped,tests_total,fetch_duration
jessecooper/pyetrade,7434661258,master,16f7a78cc3669997d18e01f0a66b8969174dee12,Python,completed,failure,2024-01-06T23:54:25Z,2024-01-08T00:14:29Z,87604.0,2,0,0,0,True,520,434,".py, .yaml, .ini, .md, .yml, .cfg",261,254,515,954,0,False,781,0,18,1,7,2,"[20229046184, 20229046254, 20229046311, 20229046355, 20229046398, 20229046437, 20229046493, 20229046532, 20229046580, 20229046627, 20229046671, 20229046723]",12,2024-01-06T23:39:17Z,3,11,0,,334.1869398207427,,11,42,['pytest'],0,0,0,0,10.339946031570435
jessecooper/pyetrade,7436869382,master,5fea548093cf850c76a46cd0efcaedc41eed4aea,Python,completed,failure,2024-01-07T07:41:27Z,2024-01-08T16:57:28Z,119761.0,2,0,0,0,True,15,6,.py,204,167,371,21,0,False,219,0,1,0,0,2,"[20233817180, 20233817233, 20233817267, 20233817292, 20233817333, 20233817369, 20233817392, 20233817416, 20233817443, 20233817470, 20233817510, 20233817541]",12,2024-01-07T07:41:43Z,3,1,0,,931.5068493150684,,11,42,['pytest'],0,0,0,0,6.52776837348938
jessecooper/pyetrade,8337660831,master,21050b43173f68e1a1f6b7d9139b97c5c29c7cfa,Python,completed,failure,2024-03-19T04:42:33Z,2024-03-22T12:43:15Z,288042.0,4,0,0,0,True,4,4,".py, .cfg",0,0,0,8,0,False,4,0,4,0,2,2,"[22816762875, 22816763016, 22816763223, 22816763398, 22816763511, 22816763634, 22816763738, 22816763822, 22816763938, 22816764040, 22816764125, 22816764193]",12,2024-03-19T04:42:29Z,3,1,0,,0.0,,11,42,['pytest'],600,0,0,600,11.987547397613525
jessecooper/pyetrade,8390470333,master,aec87da51622f74290aedc2b5156ee8283f7602a,Python,completed,cancelled,2024-03-22T12:43:03Z,2024-03-22T12:51:26Z,503.0,4,0,0,0,True,174,113,".md, .py, .ini",274,228,502,287,0,False,448,0,5,1,1,2,"[22978747878, 22978748229, 22978748494, 22978748740, 22978749000, 22978749312, 22978749546, 22978749747, 22978749961, 22978750221, 22978750510, 22978750813]",12,2024-03-22T12:43:00Z,3,1,0,,611.6071428571429,,11,42,['pytest'],600,0,0,600,13.018124103546143
jessecooper/pyetrade,8390593735,master,b2f09c48cc48ad147fbea196a39b59b58146682a,Python,completed,failure,2024-03-22T12:52:24Z,2024-03-25T01:39:18Z,218814.0,5,0,0,0,True,4,4,".py, .cfg",0,0,0,8,0,False,4,0,4,0,2,2,"[22979113285, 22979113659, 22979113884, 22979114263, 22979114519, 22979114746, 22979114985, 22979115204, 22979115456, 22979115708, 22979115959, 22979116221]",12,2024-03-22T12:51:46Z,3,1,0,,0.0,,11,42,['pytest'],600,0,0,600,13.311487913131714
jessecooper/pyetrade,8420037443,master,be9221098e43516785ca1b6e4ee737f6a12c4a03,Python,completed,success,2024-03-25T12:26:42Z,2024-03-25T12:28:53Z,131.0,6,0,0,0,True,0,0,.yml,0,0,0,0,0,False,0,0,0,0,2,2,"[23053916288, 23053916693, 23053916966, 23053917178, 23053917432, 23053917691, 23053917962, 23053918206, 23053918457, 23053918710, 23053919059, 23053919531]",12,2024-03-25T12:26:29Z,3,1,0,,0,,11,42,['pytest'],0,0,0,0,8.150562524795532
jessecooper/pyetrade,8420082730,master,ba0a3263c5bdb92c85c665a90babfa35e7b148c5,Python,completed,success,2024-03-25T12:30:05Z,2024-03-25T12:32:09Z,124.0,7,0,0,0,True,4,4,".py, .cfg",0,0,0,8,0,False,4,0,4,0,2,2,"[23054050315, 23054050705, 23054051199, 23054051426, 23054051648, 23054051868, 23054052104, 23054052306, 23054052511, 23054052726, 23054052962, 23054053182]",12,2024-03-25T12:29:48Z,3,1,0,,0.0,,11,42,['pytest'],0,0,0,0,7.574744701385498
jessecooper/pyetrade,8622974556,master,97714f7b891800b4e9f13c7a16b46edef8028d88,Python,completed,success,2024-04-09T22:15:09Z,2024-04-09T22:17:37Z,148.0,8,0,0,0,True,883,671,", .rst, .yaml, .cfg, .py, .ini, .txt, .md",496,211,707,1554,0,False,1379,0,12,9,11,2,"[23635246974, 23635247173, 23635247321, 23635247525, 23635247708, 23635247873, 23635248062, 23635248236, 23635248418, 23635248625, 23635248836, 23635249018]",12,2024-04-09T21:45:05Z,3,15,0,,359.680928208847,,11,42,['pytest'],0,0,0,0,13.402719736099243
jessecooper/pyetrade,8733037859,master,1065a8ff94807f41e607274764c39dae207f5200,Python,completed,failure,2024-04-18T05:48:56Z,2024-04-18T05:52:57Z,241.0,9,0,0,0,True,0,0,", .toml, .yaml, .ini, .txt, .lock, .md",0,0,0,0,0,False,0,0,0,6,7,2,"[23960988136, 23960988373, 23960988528, 23960988673, 23960988836, 23960988926, 23960989042, 23960989165, 23960989291, 23960989399, 23960989515, 23960989620]",12,2024-04-18T05:48:31Z,3,2,0,,0,,11,42,['pytest'],0,0,0,0,8.104222774505615
jessecooper/pyetrade,8733086963,master,665c6851529122ca15d7919a6a9e61bc109373c4,Python,completed,failure,2024-04-18T05:55:57Z,2024-04-18T05:57:50Z,113.0,10,0,0,0,True,0,0,", .md",0,0,0,0,0,False,0,0,0,2,2,2,"[23961132187, 23961132408, 23961132540, 23961132637, 23961132741, 23961132866, 23961132987, 23961133096, 23961133208, 23961133293, 23961133380, 23961133500]",12,2024-04-18T05:55:54Z,3,1,0,,0,,11,42,['pytest'],0,0,0,0,7.56274938583374
